square_name,color,piece_code,label,cosine
A1,none,empty,empty,0.9335
A2,none,empty,empty,0.9321
A3,none,empty,empty,0.9186
A4,none,empty,empty,0.9402
A5,none,empty,empty,0.9431
A6,none,empty,empty,0.9194
A7,none,empty,empty,0.9573
A8,none,empty,empty,0.9263
B1,none,empty,empty,0.9440
B2,White,Q,white_queen,0.9348
B3,none,empty,empty,0.9501
B4,none,empty,empty,0.9648
B5,none,empty,empty,0.9448
B6,none,empty,empty,0.9566
B7,none,empty,empty,0.9462
B8,none,empty,empty,0.9425
C1,White,Q,white_queen,0.8862
C2,none,empty,empty,0.9439
C3,none,empty,empty,0.9630
C4,none,empty,empty,0.9525
C5,none,empty,empty,0.9549
C6,none,empty,empty,0.9432
C7,none,empty,empty,0.9510
C8,none,empty,empty,0.9578
D1,White,K,white_king,0.9254
D2,none,empty,empty,0.9300
D3,none,empty,empty,0.9326
D4,none,empty,empty,0.9529
D5,none,empty,empty,0.9566
D6,none,empty,empty,0.9472
D7,none,empty,empty,0.9496
D8,none,empty,empty,0.9307
E1,none,empty,empty,0.9463
E2,White,P,white_pawn,0.9338
E3,none,empty,empty,0.9548
E4,none,empty,empty,0.9472
E5,none,empty,empty,0.9627
E6,none,empty,empty,0.9359
E7,none,empty,empty,0.9636
E8,none,empty,empty,0.9507
F1,none,empty,empty,0.9068
F2,White,Q,white_queen,0.9049
F3,none,empty,empty,0.9061
F4,none,empty,empty,0.9468
F5,none,empty,empty,0.9470
F6,none,empty,empty,0.9452
F7,none,empty,empty,0.9411
F8,none,empty,empty,0.9700
G1,none,empty,empty,0.9607
G2,none,empty,empty,0.9392
G3,none,empty,empty,0.9384
G4,none,empty,empty,0.9500
G5,none,empty,empty,0.9566
G6,none,empty,empty,0.9435
G7,none,empty,empty,0.9378
G8,White,Q,white_queen,0.9284
H1,none,empty,empty,0.9305
H2,none,empty,empty,0.9522
H3,none,empty,empty,0.9584
H4,none,empty,empty,0.9602
H5,none,empty,empty,0.9473
H6,none,empty,empty,0.9336
H7,none,empty,empty,0.9434
H8,none,empty,empty,0.9551
